"date","presetName","pusher","log2ParticleCount","log2SnapshotCount","time","particleCount","snapshotCount","query"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,6,371,512,64,"&particleCount=512&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,7,662.2,512,128,"&particleCount=512&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,8,1305.7,512,256,"&particleCount=512&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,9,2529.5,512,512,"&particleCount=512&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,10,5092.1,512,1024,"&particleCount=512&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,1,26.2,1024,2,"&particleCount=1024&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,2,56.1,1024,4,"&particleCount=1024&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,3,114.1,1024,8,"&particleCount=1024&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,4,207.6,1024,16,"&particleCount=1024&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,5,377,1024,32,"&particleCount=1024&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,6,675.2,1024,64,"&particleCount=1024&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,7,1344.9,1024,128,"&particleCount=1024&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,8,2497.3,1024,256,"&particleCount=1024&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,9,5260.9,1024,512,"&particleCount=1024&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,10,10788,1024,1024,"&particleCount=1024&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,1,8,2,2,"&particleCount=2&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,2,2.1,2,4,"&particleCount=2&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,3,2.4,2,8,"&particleCount=2&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,4,3.3,2,16,"&particleCount=2&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,5,3.9,2,32,"&particleCount=2&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,6,5.3,2,64,"&particleCount=2&snapshotCount=64&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,7,7.5,2,128,"&particleCount=2&snapshotCount=128&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,8,11.7,2,256,"&particleCount=2&snapshotCount=256&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,9,29.5,2,512,"&particleCount=2&snapshotCount=512&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,10,54.5,2,1024,"&particleCount=2&snapshotCount=1024&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,1,1.5,4,2,"&particleCount=4&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,2,1.8,4,4,"&particleCount=4&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,3,1.8,4,8,"&particleCount=4&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,4,3.1,4,16,"&particleCount=4&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,5,3.5,4,32,"&particleCount=4&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,6,5.3,4,64,"&particleCount=4&snapshotCount=64&pusher=glsl"
